image,gt_lat,gt_lon,plonk_lat,plonk_lon,fractus_lat,fractus_lon,plonk_error_km,fractus_error_km
764215884291420.jpg,41.395993328918,-5.1422719766709,41.486572265625,-1.0838631391525269,41.46455383300781,-5.164979934692383,338.4096739363346,7.855126387111758
199093302037805.jpg,41.289678434589,-4.327267901099,47.20899963378906,-1.5840281248092651,41.26860046386719,-4.266167640686035,693.3968727347997,5.6179986162577835
4252088971509081.jpg,41.02898902432,-4.1413488456085,32.77857971191406,35.09739685058594,41.028987884521484,-4.141348838806152,3575.1779160633514,0.00012674109653949695
285353796653122.jpg,41.288346569051,-4.6758456407257,35.280372619628906,36.504051208496094,41.350685119628906,-4.960474014282227,3621.0542922951267,24.759893828216256
1921161284978547.jpg,41.063171340779,-3.8877688720535,37.11917495727539,-4.064401149749756,41.06317138671875,-3.8877689838409424,438.81693389364284,1.0673910487882353e-05
2660985817541107.jpg,41.279068751455,-5.2511096045654,51.47325897216797,0.2924075126647949,41.422340393066406,-5.229457378387451,1209.812220357727,16.033271895725434
948609629539857.jpg,41.63225982594,-5.1867421066522,-37.657867431640625,-67.8883056640625,41.4421272277832,-5.209423065185547,10867.072726593082,21.225894616453612
466544041298296.jpg,41.539255428129,-4.6924496667815,37.128597259521484,-8.195076942443848,41.47504806518555,-4.827375411987305,575.4442492242956,13.311902445900209
475537613669054.jpg,41.410417204766,-4.9638060420321,41.75894546508789,-0.9475497603416443,41.405513763427734,-4.327648162841797,336.2453730289609,53.057181678883815
547138909702902.jpg,41.401072324237,-5.1397484610203,50.36588668823242,6.920431137084961,41.45585632324219,-5.176226615905762,1362.3617068940985,6.808677049311071
1443024959936137.jpg,41.553248255498,-4.666362727088,-31.495973587036133,150.39793395996094,41.43717575073242,-4.3993096351623535,17534.465888461044,25.715384190887967
340625234149955.jpg,41.017148081422,-4.6737272798857,32.61610794067383,35.13922882080078,41.109622955322266,-4.749557018280029,3631.297697685481,12.089352085357616
642823391078007.jpg,41.190548,-3.993737,41.898414611816406,12.675976753234863,41.51070785522461,-5.248398303985596,1387.3447639866417,110.61299611014117
569211890782557.jpg,41.294577949449,-4.9012161442151,32.38557052612305,-110.71849060058594,41.15430450439453,-4.731129169464111,8851.038369293356,21.110123109734232
1425726552169460.jpg,41.204347259218,-4.1428281025284,39.37487030029297,-3.557272434234619,41.2050666809082,-4.134159564971924,209.40195453195682,0.7295974176475438
2745610299082903.jpg,41.365410700218,-5.1659260000183,34.89430618286133,-107.2596206665039,41.33404541015625,-4.2378716468811035,8403.743154904254,77.54560857948987
1561889344015498.jpg,41.409910847668,-5.1324177272629,32.065303802490234,35.07329559326172,41.41197204589844,-5.129897117614746,3694.0224301797507,0.3109925811778902
