Image1,Image2,ComboScore,FractusDist,PlonkDist,PlonkLatLon
4301358679887170.jpg,2314749572232368.jpg,1.5100526736381348,0.609375,36.02650146725325,"(-81.6743,121.4637) vs (-49.7714,104.7271)"
2248944101925948.jpg,750174581098318.jpg,1.5160631611614606,0.55859375,41.527820163957564,"(53.3071,154.0729) vs (87.7905,130.9330)"
477656633445309.jpg,2875887315991154.jpg,1.685151343826677,0.6640625,57.42196776260806,"(2.2920,83.1224) vs (-42.7277,118.7666)"
283270700188539.jpg,1240156153594084.jpg,1.734245113056938,0.25390625,178.17610102954325,"(-66.9218,82.1763) vs (-10.4338,-86.8084)"
1288652793043588.jpg,967141101487499.jpg,1.7623314134140677,0.546875,98.32490825813163,"(-48.2718,-60.4373) vs (-76.1224,33.8608)"
4114273342149903.jpg,1515879539765159.jpg,1.7691122541488968,0.76953125,59.42892798873289,"(-2.3145,-123.2926) vs (20.1100,-68.2568)"
1690051058505021.jpg,134370205855015.jpg,1.7806112900683777,0.57421875,98.04033752476579,"(2.7197,39.5927) vs (-18.5802,135.2913)"
2148426961964409.jpg,1888315631324568.jpg,1.7965009425944845,0.4375,142.66772126230939,"(-15.1434,-178.7357) vs (-15.4901,-36.0684)"
918798305358867.jpg,1845848825825459.jpg,1.8466609337453717,0.58984375,118.01319418679422,"(69.6742,28.5561) vs (-16.0797,-52.5203)"
1012135109927857.jpg,771636914857580.jpg,1.9145696308125382,0.65234375,127.99367249192437,"(-65.7057,-80.9317) vs (3.4369,26.7794)"
841613376476208.jpg,498588001175435.jpg,2.026756503212776,0.7109375,162.5307169658708,"(23.3748,-0.2669) vs (-67.3064,134.6151)"
313499071344839.jpg,487616635627677.jpg,2.028266358696481,0.6484375,189.16022932099125,"(-27.4205,-26.0094) vs (63.2024,140.0300)"
586601386063609.jpg,1901404650441197.jpg,2.0364979372546275,0.69140625,175.8046069927634,"(-9.6709,-5.2963) vs (-58.2561,-174.2541)"
530939268082113.jpg,1088345423491067.jpg,2.0474721400246856,0.57421875,240.0642229876414,"(71.2307,-92.0029) vs (-56.6268,111.1800)"
2239679503122835.jpg,973840770783762.jpg,2.0943788377385255,0.49609375,337.2247817228443,"(-63.3057,157.5485) vs (-29.7796,-178.0056)"
768158237210484.jpg,2097354831008712.jpg,2.0962208149545773,0.76171875,182.1048549306141,"(58.6628,179.2660) vs (27.0147,-0.0677)"
1841661246344288.jpg,127624379913139.jpg,2.1480362598951808,0.57421875,336.06544702441516,"(29.4783,-160.1408) vs (-50.0643,166.3756)"
1970421733491615.jpg,831797324383606.jpg,2.148269684143135,0.75,222.83271104364368,"(23.3034,-41.0195) vs (-43.1731,171.6664)"
1308747227442911.jpg,6860723967291966.jpg,2.1494204382017834,0.7578125,219.6340898604085,"(-21.3521,-88.7989) vs (-45.3501,129.5202)"
127365689537551.jpg,761152354597495.jpg,2.228472752840889,0.7109375,319.34173338455156,"(-35.4741,168.8067) vs (31.3248,-143.4705)"
