id,gt_lat,gt_lon,fractus_lat,fractus_lon,error_km
0,16.146444599998,168.1148514,16.146444599998,168.1148514,0.0
1,-33.98184925644,-32.612652918486,-33.98184925644,-32.612652918486,0.0
2,-35.595377,-62.4435055,-35.595377,-62.4435055,0.0
3,-3.9707426869888,122.5906746048,-3.9707426869888,122.5906746048,0.0
4,22.055194781733,-159.38694063739,22.055194781733,-159.38694063739,0.0
5,17.9971477,-15.6410917,17.9971477,-15.6410917,0.0
6,40.269087605668,-11.799009156275,40.269087605668,-11.799009156275,0.0
7,-4.5657694533971,136.87769099789,-4.5657694533971,136.87769099789,0.0
8,-35.3917309,-62.4237201,-35.3917309,-62.4237201,0.0
9,1.8509544711577,172.99873894097,1.8509544711577,172.99873894097,0.0
10,26.5579432,78.7202628,26.5579432,78.7202628,0.0
11,1.9828404529191,-157.35593335685,1.9828404529191,-157.35593335685,0.0
12,1.9902825470222,-157.37940550382,1.9902825470222,-157.37940550382,0.0
13,1.9831686861805,-157.3657819861,1.9831686861805,-157.3657819861,0.0
14,2.041881001924,-157.49023364798,2.041881001924,-157.49023364798,0.0
15,22.688583324679,131.12826227172,22.688583324679,131.12826227172,0.0
16,-14.893372827309,50.27758068755,-14.893372827309,50.27758068755,0.0
17,-35.025622222222,117.87645555556,-35.025622222222,117.87645555556,0.0
18,-77.8463677,166.6717459,-77.8463677,166.6717459,0.0
19,-27.100351125556,-109.37711997465,-27.100351125556,-109.37711997465,0.0
20,-27.140849,-109.411603,-27.140849,-109.411603,0.0
21,4.7914388888889,51.779036111111,4.7914388888889,51.779036111111,0.0
22,-18.612210349112,-174.00089703609,-18.612210349112,-174.00089703609,0.0
23,-27.098266705185,-109.37879372492,-27.098266705185,-109.37879372492,0.0
24,38.0006071919,-41.857120398158,38.0006071919,-41.857120398158,0.0
25,-77.8462596,166.6668388,-77.8462596,166.6668388,0.0
26,-8.1421162957581,-24.345313226706,-8.1421162957581,-24.345313226706,0.0
27,-35.086054043358,-32.561044387261,-35.086054043358,-32.561044387261,0.0
28,27.945975,179.8463067,27.945975,179.8463067,0.0
