filename,lat_gt,lon_gt,lat_plonk,lon_plonk,lat_fractus,lon_fractus,dist_plonk_km,dist_fractus_km
764215884291420.jpg,41.395993328918,-5.1422719766709,41.2836438604456,-5.1099764258836,41.496022204074805,-5.23001405509988,12.780332900092771,13.311581151419892
199093302037805.jpg,41.289678434589,-4.327267901099,41.2363969371796,-4.2515783731278,41.2240133769062,-4.56210868229464,8.667473611494092,20.944739913743625
4252088971509081.jpg,41.02898902432,-4.1413488456085,41.1801806088436,-4.5197972580398,41.02898902432,-4.1413488456085,35.889903227620785,0.0
285353796653122.jpg,41.288346569051,-4.6758456407257,41.2836438604456,-5.1099764258836,41.188676073241794,-4.5349180590551,36.27739699051415,16.176702316437403
1921161284978547.jpg,41.063171340779,-3.8877688720535,41.1686899542932,-4.38474108631464,41.102996491963395,-4.46398635686038,43.25410179947678,48.49760478852953
2660985817541107.jpg,41.279068751455,-5.2511096045654,41.3009727744504,-4.775513303710079,41.188161503034,-4.71282424337668,39.810378101040364,46.13333446646786
948609629539857.jpg,41.63225982594,-5.1867421066522,41.29385539813641,-4.5949169143172,41.408414073056996,-4.889529598886499,62.0314569328628,35.09708189668915
466544041298296.jpg,41.539255428129,-4.6924496667815,41.38948546602641,-4.45534701190788,41.307782089534,-4.7763954187009805,25.839389218748348,26.673358622797412
475537613669054.jpg,41.410417204766,-4.9638060420321,41.35854117747179,-4.82988438197664,41.4433361236558,-4.93719570496126,12.574061645922145,4.280290508281324
547138909702902.jpg,41.401072324237,-5.1397484610203,41.4413983593128,-5.2393819984929,41.510910320512394,-5.28244040166622,9.440468848689893,17.046250252267555
