filename,gt_lat,gt_lon,plonk_lat,plonk_lon,plonk_error_km,fractus_lat,fractus_lon,fractus_error_km
285353796653122.jpg,41.288346569051,-4.6758456407257,41.2836438604456,-5.1099764258836,36.27739699051415,41.34641647338867,-4.551529884338379,12.226332878033995
1921161284978547.jpg,41.063171340779,-3.8877688720535,41.1686899542932,-4.38474108631464,43.25410179947678,41.063880920410156,-3.8347043991088867,4.449568802466628
2899935216828416.jpg,41.405512763451,-4.3276479804245,41.3481219331628,-4.38096638326264,7.779216455529083,41.40548324584961,-4.327596187591553,0.005425110594278126
1481026925581866.jpg,41.306713872166,-5.2282113393939,41.4413983593128,-5.2393819984929,15.005209914707764,41.3068733215332,-5.228303909301758,0.019342651965549126
133640698802761.jpg,41.10066420958,-5.3004979409722,41.116631042462004,-4.66104027189366,53.60394365572457,41.100528717041016,-5.300583362579346,0.016679878910720102
1273367797614668.jpg,41.270766641109,-4.8852121890175,41.2460753954388,-4.61927382961686,22.398682689872917,41.1563835144043,-4.794207572937012,14.822801851195038
1514994706302012.jpg,41.536813224572,-5.2856760825918,41.4636083784158,-5.262569650329199,8.364367740807817,41.53683853149414,-5.285703659057617,0.0036313688088250185
1053428099940901.jpg,41.170341780904,-4.1217919493099,41.1444997004686,-4.529674925321159,34.26826398276214,41.17256164550781,-4.121448516845703,0.2485058491064411
1192200725944116.jpg,41.298704567907,-4.1050884086636,41.1560570350048,-4.51874896104094,38.057260288686614,41.119850158691406,-3.7253689765930176,37.476756529369595
4296203433826262.jpg,41.381706861645,-5.1523134684622,41.4413983593128,-5.2393819984929,9.837510330348147,41.38078689575195,-5.152839660644531,0.1113181333374381
1454297279174017.jpg,41.539561879906,-5.3577144307858,41.4636083784158,-5.2625696503292,11.580598124052543,41.53951644897461,-5.3580803871154785,0.030874341352661695
1215247825573267.jpg,41.54756517699,-4.70659562858,41.4311241053072,-4.753494868189561,13.524121623456008,43.358211517333984,-1.7383610010147095,315.9367400059151
3856211217951538.jpg,41.321671958429,-4.0696581551753,41.3894854660264,-4.45534701190788,33.06303805225898,41.32156753540039,-4.069430828094482,0.022253312396314846
587216282951377.jpg,41.323521494724,-5.0587376258104,41.3119622195958,-4.633858388700121,35.506614200442634,41.323543548583984,-5.0581159591674805,0.051971162483080216
524414552128943.jpg,41.368726349784,-4.4980702455209,41.2836438604456,-5.1099764258836,51.96448632662438,41.37711715698242,-4.487451076507568,1.2867352843059865
3646141405607229.jpg,41.306267143334,-4.0358350036509,41.322334982148,-4.346024471941661,25.968062470579607,41.30636978149414,-4.036059379577637,0.021943310340869993
773763916609620.jpg,41.310750621283,-4.3666457117506,41.3178247009948,-4.38176514352848,1.4877109841368723,41.31035614013672,-4.3658366203308105,0.08056584065827883
2785969181619927.jpg,41.594172406737,-4.5832045034058,41.2444298247124,-4.68744055751564,39.84901605211876,41.27116775512695,-5.258906841278076,66.80667450149251
2679036095572219.jpg,41.115228151881,-3.722473943313,41.2369949427262,-4.6054119436327,75.12753503160096,41.11431121826172,-3.721775770187378,0.11754322079543007
997434029159422.jpg,41.1819506264,-4.0474189879153,41.207584660646,-4.33902334715942,24.56486695226882,41.182044982910156,-4.047539710998535,0.01456546482876657
