filename,lat_gt,lon_gt,lat_plonk,lon_plonk,err_plonk_km,lat_fractus,lon_fractus,err_fractus_km,plonk_info,fractus_mode
764215884291420.jpg,41.395993328918,-5.1422719766709,41.2836438604456,-5.1099764258836,12.780332900092771,41.553248255498,-4.666362727088,43.33378741537626,KDTree vote sur 5 voisins,top1
199093302037805.jpg,41.289678434589,-4.327267901099,41.2363969371796,-4.2515783731278,8.667473611494092,41.416089010467,-4.3472400501635,14.154725034951188,KDTree vote sur 5 voisins,top1
4252088971509081.jpg,41.02898902432,-4.1413488456085,41.1801806088436,-4.5197972580398,35.889903227620785,41.416089010467,-4.3472400501635,46.36020452350701,KDTree vote sur 5 voisins,top1
285353796653122.jpg,41.288346569051,-4.6758456407257,41.2836438604456,-5.1099764258836,36.27739699051415,41.289678434589,-4.327267901099,29.12431724932651,KDTree vote sur 5 voisins,top1
1921161284978547.jpg,41.063171340779,-3.8877688720535,41.1686899542932,-4.38474108631464,43.25410179947678,41.10066420958,-5.3004979409722,118.48064916480219,KDTree vote sur 5 voisins,top1
2660985817541107.jpg,41.279068751455,-5.2511096045654,41.3009727744504,-4.775513303710079,39.810378101040364,41.4126816,-4.3220900999978,78.96253453593867,KDTree vote sur 5 voisins,top1
948609629539857.jpg,41.63225982594,-5.1867421066522,41.29385539813641,-4.5949169143172,62.0314569328628,41.10066420958,-5.3004979409722,59.868154383531106,KDTree vote sur 5 voisins,top1
466544041298296.jpg,41.539255428129,-4.6924496667815,41.38948546602641,-4.45534701190788,25.839389218748348,41.4126816,-4.3220900999978,33.913375939616756,KDTree vote sur 5 voisins,top1
475537613669054.jpg,41.410417204766,-4.9638060420321,41.35854117747179,-4.82988438197664,12.574061645922145,41.10066420958,-5.3004979409722,44.479984414876924,KDTree vote sur 5 voisins,top1
547138909702902.jpg,41.401072324237,-5.1397484610203,41.4413983593128,-5.2393819984929,9.440468848689893,41.10066420958,-5.3004979409722,36.00572666979295,KDTree vote sur 5 voisins,top1
1443024959936137.jpg,41.553248255498,-4.666362727088,41.3922929333278,-4.6086391966416205,18.532301987876835,41.4126816,-4.3220900999978,32.661374323300194,KDTree vote sur 5 voisins,top1
340625234149955.jpg,41.017148081422,-4.6737272798857,41.2449766830292,-4.57920515732506,26.54149449068908,41.4126816,-4.3220900999978,52.90996091226836,KDTree vote sur 5 voisins,top1
642823391078007.jpg,41.190548,-3.993737,41.3986561896798,-4.94498709859856,82.77093942980815,41.416089010467,-4.3472400501635,38.741628358194546,KDTree vote sur 5 voisins,top1
569211890782557.jpg,41.294577949449,-4.9012161442151,41.372763823490196,-4.9872698587932,11.278594463028442,41.10066420958,-5.3004979409722,39.76119502259549,KDTree vote sur 5 voisins,top1
1425726552169460.jpg,41.204347259218,-4.1428281025284,41.2478980623304,-4.31265657709362,15.005851283996785,41.553248255498,-4.666362727088,58.42242410970144,KDTree vote sur 5 voisins,top1
2745610299082903.jpg,41.365410700218,-5.1659260000183,41.2836438604456,-5.1099764258836,10.222226142842963,41.553248255498,-4.666362727088,46.57551199188767,KDTree vote sur 5 voisins,top1
1561889344015498.jpg,41.409910847668,-5.1324177272629,41.2402121969204,-4.56899255926308,50.6914451404299,41.4126816,-4.3220900999978,67.576955267284,KDTree vote sur 5 voisins,top1
3623862811267602.jpg,41.254807258953,-3.8760321883083,41.2080411588738,-4.2439401426243,31.202482527435848,41.4126816,-4.3220900999978,41.17284313099829,KDTree vote sur 5 voisins,top1
1747961422073543.jpg,41.44567860665,-5.0900649360012,41.44929646046519,-5.005738077446599,7.039941932742376,41.553248255498,-4.666362727088,37.25836329874045,KDTree vote sur 5 voisins,top1
1321153734948549.jpg,41.33632317765,-5.1889973137066,41.3709156312754,-4.7689308711438,35.27244860314044,41.4126816,-4.3220900999978,72.83212040038846,KDTree vote sur 5 voisins,top1
1184962648605626.jpg,41.527901085441,-4.6970064969933,41.3159937515844,-4.59319823014106,25.10248120702172,41.63225982594,-5.1867421066522,42.355284665623294,KDTree vote sur 5 voisins,top1
