filename,gt_lat,gt_lon,plonk,fractus
6731843986909582.jpg,-3.2381747,151.9656978,"{'lat': 41.2580615022812, 'lon': -4.32054933919342, 'confidence': 0.0200516231857075, 'info': 'KDTree vote sur 5 voisins'}","{'neighbors': [[4774, 4797, 4815, 4814, 4788]], 'distances': [[0.11818213315164985, 0.1516338376333959, 0.24810132277812533, 0.3282773975006535, 0.5719931192308072]], 'mean_score': 0.2836375620589263}"
1832565736911736.jpg,5.13299749,9.9723354600001,"{'lat': 41.3051132911642, 'lon': -4.30645665162274, 'confidence': 0.01692046674588835, 'info': 'KDTree vote sur 5 voisins'}","{'neighbors': [[4774, 4815, 4797, 4788, 4741]], 'distances': [[0.14856648863895372, 0.2767845614425704, 0.3971371871803059, 0.4002378706922622, 0.4480632567782508]], 'mean_score': 0.3341578729464686}"
3462139930701818.jpg,15.275178333333,5.6016583333333,"{'lat': 41.372053551877, 'lon': -4.891700403666521, 'confidence': 0.017184348278506678, 'info': 'KDTree vote sur 5 voisins'}","{'neighbors': [[4736, 4741, 4788, 4778, 4742]], 'distances': [[0.222779332506746, 0.2608241952440287, 0.389862867886022, 0.42262900392522595, 0.43912036764378537]], 'mean_score': 0.34704315344116166}"
3056308007931615.jpg,24.980156,56.257369,"{'lat': 41.3157190705478, 'lon': -4.63247745718496, 'confidence': 0.02098650394806187, 'info': 'KDTree vote sur 5 voisins'}","{'neighbors': [[4815, 4797, 4774, 4814, 4788]], 'distances': [[0.16650087535394267, 0.21601332886777605, 0.2663868674987369, 0.40260638710610847, 0.5481038173436048]], 'mean_score': 0.3199222552340338}"
1362244074141575.jpg,-56.936183569028,-28.014556388615,"{'lat': 41.368967103046, 'lon': -5.06712701513614, 'confidence': 0.015856481531372715, 'info': 'KDTree vote sur 5 voisins'}","{'neighbors': [[4788, 4741, 4736, 4778, 4815]], 'distances': [[0.205115684654126, 0.20635677423619628, 0.2481998382358273, 0.25226944790028116, 0.3697791880690111]], 'mean_score': 0.25634418661908837}"
1696514170731241.jpg,-8.539702,115.12654,"{'lat': 41.4492964604652, 'lon': -5.005738077446599, 'confidence': 0.016740846325793125, 'info': 'KDTree vote sur 5 voisins'}","{'neighbors': [[4814, 4774, 4797, 4815, 4736]], 'distances': [[0.4993451318573396, 0.5350652503380332, 0.5673803756531823, 0.80965422558197, 0.9906147775772168]], 'mean_score': 0.6804119522015484}"
1882117881945698.jpg,5.23636154,9.98386283,"{'lat': 41.3811364203862, 'lon': -4.397790778009579, 'confidence': 0.017225975014870575, 'info': 'KDTree vote sur 5 voisins'}","{'neighbors': [[4742, 4736, 4741, 4780, 4788]], 'distances': [[0.11890460680370764, 0.34077624878250806, 0.430251283151711, 0.5453393749509676, 0.6356253689570767]], 'mean_score': 0.4141793765291942}"
2791495141071002.jpg,-19.309408101959,135.10721578486,"{'lat': 41.5421501091724, 'lon': -5.245436274570861, 'confidence': 0.02008552386412557, 'info': 'KDTree vote sur 5 voisins'}","{'neighbors': [[4815, 4797, 4774, 4814, 4788]], 'distances': [[0.1522599739911648, 0.20760019260947793, 0.215217088812257, 0.39881505401036865, 0.5237047635145027]], 'mean_score': 0.29951941458755427}"
1688158811552122.jpg,5.3684972,163.0180421,"{'lat': 41.188430604520605, 'lon': -4.1937231061958995, 'confidence': 0.01691784489383422, 'info': 'KDTree vote sur 5 voisins'}","{'neighbors': [[4814, 4797, 4774, 4815, 4788]], 'distances': [[0.2579978239554409, 0.3416227312809924, 0.39329931631529697, 0.6389283225899711, 0.9149443006411005]], 'mean_score': 0.5093584989565604}"
2274018479396785.jpg,-18.622396896289,-173.94048387495,"{'lat': 41.359054801949, 'lon': -4.6698429264399, 'confidence': 0.017127486241993613, 'info': 'KDTree vote sur 5 voisins'}","{'neighbors': [[4742, 4774, 4736, 4741, 4780]], 'distances': [[0.5743972187554892, 0.6168367408015352, 0.687838079855812, 0.7420306459003245, 0.7563001919186935]], 'mean_score': 0.6754805754463709}"
370391789151277.jpg,-57.6397222,121.95,"{'lat': 41.3007632490542, 'lon': -4.46645194992802, 'confidence': 0.01545029840320201, 'info': 'KDTree vote sur 5 voisins'}","{'neighbors': [[4774, 4742, 4736, 4741, 4797]], 'distances': [[0.46409541312856706, 0.576476069112061, 0.5829986605205035, 0.6240128414424339, 0.6764491684371885]], 'mean_score': 0.5848064305281507}"
3429720083937205.jpg,-5.351566,104.962285,"{'lat': 41.349458107846196, 'lon': -5.01962698312058, 'confidence': 0.017244723829497214, 'info': 'KDTree vote sur 5 voisins'}","{'neighbors': [[4797, 4814, 4774, 4815, 4788]], 'distances': [[0.14608890338172262, 0.18775982231620558, 0.2305923901910587, 0.4390418299278545, 0.7485748077956202]], 'mean_score': 0.35041155072249236}"
3463820783841963.jpg,-14.924839334576,13.543924223644,"{'lat': 41.3313036554294, 'lon': -4.5973514026418005, 'confidence': 0.01703632710482033, 'info': 'KDTree vote sur 5 voisins'}","{'neighbors': [[4774, 4797, 4815, 4814, 4788]], 'distances': [[0.09607756860057064, 0.164221491206396, 0.26116194830922035, 0.33214045015289306, 0.5712339809774541]], 'mean_score': 0.2849670878493068}"
